"","geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm"
"127",42,"2020-02-15","14:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"128",43,"2020-02-15","14:00",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"129",53,"2020-02-15","14:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"130",23,"2020-02-16","12:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"131",31,"2020-02-16","12:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"132",33,"2020-02-16","12:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"133",35,"2020-02-16","12:00",2,20,0,0,"0",0,"0","0",0,"São Paulo"
"134",41,"2020-02-16","12:00",0,3,0,0,"0",0,"0","0",0,"Paraná"
"135",42,"2020-02-16","12:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"136",43,"2020-02-16","12:00",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"137",53,"2020-02-16","12:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"138",23,"2020-02-17","15:50",0,1,0,0,"0",0,"0","0",0,"Ceará"
"139",31,"2020-02-17","15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"140",33,"2020-02-17","15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"141",35,"2020-02-17","15:50",2,20,0,0,"0",0,"0","0",0,"São Paulo"
"142",41,"2020-02-17","15:50",0,3,0,0,"0",0,"0","0",0,"Paraná"
"143",42,"2020-02-17","15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"144",43,"2020-02-17","15:50",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"145",53,"2020-02-17","15:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"146",23,"2020-02-18","15:50",0,1,0,0,"0",0,"0","0",0,"Ceará"
"147",31,"2020-02-18","15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"148",33,"2020-02-18","15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"149",35,"2020-02-18","15:50",4,20,0,0,"0",0,"0","0",0,"São Paulo"
"150",41,"2020-02-18","15:50",0,3,0,0,"0",0,"0","0",0,"Paraná"
"151",42,"2020-02-18","15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"152",43,"2020-02-18","15:50",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"153",53,"2020-02-18","15:50",0,1,0,0,"FALSE",0,"0","0",0,"Distrito Federal"
"154",23,"2020-02-19","15:50",0,1,0,0,"0",0,"0","0",0,"Ceará"
"155",31,"2020-02-19","15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"156",33,"2020-02-19","15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"157",35,"2020-02-19","15:50",1,23,0,0,"0",0,"0","0",0,"São Paulo"
"158",41,"2020-02-19","15:50",0,3,0,0,"0",0,"0","0",0,"Paraná"
"159",42,"2020-02-19","15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"160",43,"2020-02-19","15:50",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"161",53,"2020-02-19","15:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"162",23,"2020-02-20","15:50",0,1,0,0,"0",0,"0","0",0,"Ceará"
"163",31,"2020-02-20","15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"164",33,"2020-02-20","15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"165",35,"2020-02-20","15:50",1,24,0,0,"0",0,"0","0",0,"São Paulo"
"166",41,"2020-02-20","15:50",0,3,0,0,"0",0,"0","0",0,"Paraná"
"167",42,"2020-02-20","15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"168",43,"2020-02-20","15:50",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"169",53,"2020-02-20","15:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"170",23,"2020-02-21","14:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"171",31,"2020-02-21","14:30",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"172",33,"2020-02-21","14:30",1,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"173",35,"2020-02-21","14:30",0,25,0,0,"0",0,"0","0",0,"São Paulo"
"174",41,"2020-02-21","14:30",0,3,0,0,"0",0,"0","0",0,"Paraná"
"175",42,"2020-02-21","14:30",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"176",43,"2020-02-21","14:30",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"177",53,"2020-02-21","14:30",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"178",23,"2020-02-22","13:40",0,1,0,0,"0",0,"0","0",0,"Ceará"
"179",31,"2020-02-22","13:40",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"180",33,"2020-02-22","13:40",1,6,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"181",35,"2020-02-22","13:40",0,25,0,0,"0",0,"0","0",0,"São Paulo"
"182",41,"2020-02-22","13:40",0,3,0,0,"0",0,"0","0",0,"Paraná"
"183",42,"2020-02-22","13:40",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"184",43,"2020-02-22","13:40",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"185",53,"2020-02-22","13:40",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"186",23,"2020-02-23","12:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"187",31,"2020-02-23","12:30",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"188",33,"2020-02-23","12:30",1,7,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"189",35,"2020-02-23","12:30",1,25,0,0,"0",0,"0","0",0,"São Paulo"
