"geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm","uf"
41,2020-02-16,"12:00",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-16,"12:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-16,"12:00",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-16,"12:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-17,"15:50",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-17,"15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-17,"15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-17,"15:50",2,20,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-17,"15:50",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-17,"15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-17,"15:50",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-17,"15:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-18,"15:50",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-18,"15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-18,"15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-18,"15:50",4,20,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-18,"15:50",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-18,"15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-18,"15:50",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-18,"15:50",0,1,0,0,"FALSE",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-19,"15:50",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-19,"15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-19,"15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-19,"15:50",1,23,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-19,"15:50",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-19,"15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-19,"15:50",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-19,"15:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-20,"15:50",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-20,"15:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-20,"15:50",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-20,"15:50",1,24,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-20,"15:50",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-20,"15:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-20,"15:50",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-20,"15:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-21,"14:30",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-21,"14:30",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-21,"14:30",1,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-21,"14:30",0,25,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-21,"14:30",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-21,"14:30",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-21,"14:30",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-21,"14:30",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-22,"13:40",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-22,"13:40",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-22,"13:40",1,6,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-22,"13:40",0,25,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-22,"13:40",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-22,"13:40",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-22,"13:40",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-22,"13:40",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-23,"12:30",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-23,"12:30",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-23,"12:30",1,7,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-23,"12:30",1,25,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-23,"12:30",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-23,"12:30",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-23,"12:30",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-23,"12:30",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-24,"12:25",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-24,"12:25",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-24,"12:25",1,7,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-24,"12:25",3,26,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-24,"12:25",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-24,"12:25",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-24,"12:25",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-24,"12:25",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-25,"13:50",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-25,"13:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-25,"13:50",0,8,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-25,"13:50",4,26,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-25,"13:50",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
